epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,582.904,1.33805,0.92063,0.93107,0.51424,0.40618,0.39502,0.23169,1.03188,0.75951,0.72385,0.0014151,0.0014151,0.0014151
63,591.994,1.31641,0.9131,0.92477,0.50689,0.40606,0.3942,0.23079,1.03563,0.75473,0.72526,0.00128599,0.00128599,0.00128599
64,601.095,1.3257,0.91894,0.92952,0.51928,0.40261,0.39468,0.2311,1.03073,0.75398,0.72347,0.00116268,0.00116268,0.00116268
65,610.071,1.3205,0.91963,0.92564,0.51569,0.4006,0.39507,0.23096,1.02788,0.75387,0.72357,0.00104537,0.00104537,0.00104537
66,618.924,1.33535,0.9204,0.92509,0.51255,0.40407,0.39764,0.23318,1.02865,0.75336,0.72427,0.000934225,0.000934225,0.000934225
67,627.94,1.31503,0.90897,0.92385,0.533,0.39836,0.3966,0.23293,1.03,0.75165,0.72313,0.000829431,0.000829431,0.000829431
68,637.226,1.32056,0.9099,0.92607,0.51848,0.3925,0.39215,0.23067,1.02811,0.75159,0.72181,0.000731145,0.000731145,0.000731145
69,646.092,1.31158,0.90121,0.92395,0.52279,0.4049,0.40077,0.23513,1.02423,0.74809,0.72141,0.000639518,0.000639518,0.000639518
70,655.027,1.30947,0.89744,0.92639,0.52406,0.40053,0.3972,0.23333,1.02695,0.74881,0.72148,0.000554691,0.000554691,0.000554691
71,671.473,1.29035,0.88732,0.92974,0.51732,0.40512,0.3938,0.22912,1.03338,0.75837,0.72462,0.000476796,0.000476796,0.000476796
72,679.748,1.28181,0.87282,0.92716,0.51553,0.40183,0.39735,0.23248,1.03023,0.75088,0.72355,0.000405953,0.000405953,0.000405953
73,687.948,1.27332,0.86213,0.92608,0.51885,0.40234,0.39712,0.2334,1.02928,0.75026,0.72295,0.00034227,0.00034227,0.00034227
74,696.142,1.27944,0.87277,0.93005,0.51821,0.40336,0.39671,0.23365,1.03114,0.75034,0.72307,0.000285847,0.000285847,0.000285847
75,704.321,1.27861,0.873,0.92427,0.51358,0.40248,0.39673,0.23294,1.03157,0.74986,0.72378,0.000236769,0.000236769,0.000236769
76,712.635,1.27327,0.87384,0.927,0.52295,0.40215,0.39866,0.234,1.02999,0.7485,0.72301,0.000195113,0.000195113,0.000195113
77,720.741,1.28132,0.86695,0.92532,0.51878,0.40227,0.39795,0.234,1.0276,0.74684,0.72237,0.000160943,0.000160943,0.000160943
78,728.937,1.26668,0.8617,0.92066,0.51466,0.40448,0.3982,0.23395,1.02825,0.74814,0.72256,0.000134311,0.000134311,0.000134311
79,737.069,1.27896,0.86817,0.9282,0.51855,0.40566,0.39838,0.23406,1.02727,0.74741,0.72213,0.000115259,0.000115259,0.000115259
80,745.285,1.27857,0.86803,0.93182,0.50927,0.40444,0.3979,0.23327,1.02959,0.74876,0.72293,0.000103816,0.000103816,0.000103816
