epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3061.28,1.10538,0.66636,0.93352,0.6659,0.55503,0.5771,0.36041,1.16511,0.77627,0.95542,0.00789628,0.00789628,0.00789628
63,3110.84,1.12084,0.66783,0.93704,0.65992,0.55002,0.56923,0.35529,1.16719,0.77706,0.95476,0.00783231,0.00783231,0.00783231
64,3159.88,1.11164,0.66586,0.93589,0.66081,0.55072,0.57387,0.35829,1.16928,0.77523,0.95627,0.00776766,0.00776766,0.00776766
65,3208.93,1.11086,0.66261,0.93238,0.65334,0.561,0.57087,0.35575,1.1655,0.77904,0.95447,0.00770234,0.00770234,0.00770234
66,3258.04,1.11975,0.6623,0.93258,0.65975,0.55655,0.57286,0.35726,1.16647,0.77792,0.95538,0.00763637,0.00763637,0.00763637
67,3307.49,1.08935,0.65232,0.93389,0.64421,0.56369,0.57295,0.35717,1.16874,0.77747,0.95517,0.00756976,0.00756976,0.00756976
68,3356.7,1.10488,0.65672,0.93494,0.66154,0.55925,0.57563,0.35909,1.16317,0.77747,0.95402,0.00750252,0.00750252,0.00750252
69,3405.91,1.1055,0.64396,0.92697,0.66118,0.5584,0.57563,0.35914,1.16735,0.77936,0.95578,0.00743468,0.00743468,0.00743468
70,3454.79,1.10912,0.65395,0.93136,0.65361,0.56476,0.57247,0.35695,1.16997,0.77893,0.95799,0.00736625,0.00736625,0.00736625
71,3503.83,1.08731,0.64079,0.92726,0.65163,0.56034,0.57043,0.35645,1.16914,0.78343,0.95771,0.00729725,0.00729725,0.00729725
72,3552.93,1.08622,0.63334,0.935,0.65417,0.56053,0.57205,0.35773,1.16932,0.78051,0.95722,0.0072277,0.0072277,0.0072277
73,3601.93,1.10153,0.6404,0.93028,0.64983,0.57047,0.57462,0.35904,1.16829,0.77765,0.95665,0.00715761,0.00715761,0.00715761
74,3650.58,1.11028,0.64362,0.93105,0.66532,0.55525,0.57489,0.35921,1.16774,0.77783,0.95732,0.007087,0.007087,0.007087
75,3699.1,1.08143,0.62789,0.92967,0.65762,0.56139,0.57428,0.35714,1.16938,0.77594,0.95647,0.00701588,0.00701588,0.00701588
76,3748.34,1.08984,0.63103,0.92866,0.6577,0.55932,0.57429,0.35852,1.17055,0.7779,0.95649,0.00694428,0.00694428,0.00694428
77,3797.79,1.09874,0.63509,0.92878,0.65749,0.56509,0.57531,0.35985,1.17026,0.77589,0.95684,0.00687222,0.00687222,0.00687222
78,3847.04,1.0965,0.62802,0.92926,0.65329,0.56604,0.57265,0.35776,1.17195,0.77952,0.95665,0.0067997,0.0067997,0.0067997
79,3895.91,1.08541,0.62037,0.92867,0.66509,0.55565,0.57332,0.35814,1.1673,0.77814,0.95597,0.00672675,0.00672675,0.00672675
80,3944.91,1.08913,0.62681,0.93247,0.65959,0.55449,0.57326,0.35792,1.16835,0.78099,0.95667,0.00665339,0.00665339,0.00665339
81,3993.79,1.09051,0.61851,0.92241,0.65683,0.56035,0.57339,0.35883,1.16908,0.78135,0.95641,0.00657963,0.00657963,0.00657963
82,4043.13,1.07386,0.61186,0.9275,0.65792,0.56033,0.57207,0.3581,1.17126,0.7816,0.95626,0.0065055,0.0065055,0.0065055
83,4092.3,1.07422,0.616,0.92739,0.65421,0.55258,0.56916,0.35568,1.17163,0.78365,0.95608,0.00643101,0.00643101,0.00643101
84,4141.2,1.05168,0.60272,0.92034,0.65271,0.55516,0.56944,0.357,1.16928,0.78305,0.9565,0.00635617,0.00635617,0.00635617
85,4190.41,1.07148,0.61044,0.92199,0.65605,0.55473,0.5701,0.35665,1.16978,0.78189,0.95696,0.00628101,0.00628101,0.00628101
86,4239.48,1.06067,0.59586,0.92123,0.65049,0.55526,0.56753,0.35553,1.17108,0.78422,0.95723,0.00620555,0.00620555,0.00620555
87,4288.28,1.09953,0.62451,0.92537,0.65383,0.55648,0.57055,0.35644,1.1718,0.78415,0.95733,0.00612981,0.00612981,0.00612981
88,4337.23,1.0541,0.60292,0.92337,0.65391,0.55975,0.5695,0.35673,1.17141,0.78466,0.95815,0.0060538,0.0060538,0.0060538
89,4386.02,1.06623,0.61087,0.92278,0.66067,0.55685,0.57027,0.35731,1.17039,0.78455,0.95753,0.00597754,0.00597754,0.00597754
90,4434.93,1.05822,0.59741,0.92079,0.65874,0.55799,0.5695,0.35671,1.17184,0.78528,0.95852,0.00590105,0.00590105,0.00590105
91,4483.9,1.04822,0.59678,0.92613,0.6592,0.55931,0.57039,0.35741,1.17148,0.78646,0.9589,0.00582435,0.00582435,0.00582435
92,4533.03,1.05179,0.59396,0.91704,0.66177,0.55417,0.56894,0.35658,1.17169,0.7883,0.95866,0.00574746,0.00574746,0.00574746
