frame,timestamp_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,count_point_x,count_point_y,signed_distance,crossed_line
0,0.0,72,3,car,0.173367,1893.01,821.38,1920.00,886.04,1907,854,1907,886,-1027.000000,0
1,0.03333333333333333,1,3,car,0.907102,905.08,663.33,988.49,738.40,947,701,947,738,-67.000000,0
1,0.03333333333333333,2,3,car,0.902766,211.80,72.46,296.54,137.89,254,105,254,138,626.000000,0
1,0.03333333333333333,3,3,car,0.902683,53.64,86.77,139.53,151.64,97,119,97,152,783.000000,0
1,0.03333333333333333,4,3,car,0.902853,428.44,254.02,520.53,320.75,474,287,474,321,406.000000,0
1,0.03333333333333333,5,3,car,0.882795,1150.58,697.54,1252.40,757.98,1201,728,1201,758,-321.000000,0
1,0.03333333333333333,6,3,car,0.892271,1000.72,551.13,1083.48,610.85,1042,581,1042,611,-162.000000,0
1,0.03333333333333333,7,3,car,0.893338,155.02,140.65,241.83,204.24,198,172,198,204,682.000000,0
1,0.03333333333333333,8,3,car,0.892289,552.59,744.14,648.59,805.87,601,775,601,806,279.000000,0
1,0.03333333333333333,9,3,car,0.890626,810.10,122.14,849.67,214.06,830,168,830,214,50.000000,0
1,0.03333333333333333,10,3,car,0.887566,417.20,688.35,505.90,748.44,462,718,462,748,418.000000,0
1,0.03333333333333333,11,3,car,0.887719,815.62,832.01,871.80,923.11,844,878,844,923,36.000000,0
1,0.03333333333333333,12,3,car,0.889263,151.26,697.76,226.02,772.69,189,735,189,773,691.000000,0
1,0.03333333333333333,13,3,car,0.884674,135.96,24.20,213.08,84.86,175,55,175,85,705.000000,0
1,0.03333333333333333,14,3,car,0.872095,1482.29,344.16,1577.83,387.70,1530,366,1530,388,-650.000000,0
1,0.03333333333333333,15,3,car,0.872796,1745.45,344.47,1833.99,383.47,1790,364,1790,383,-910.000000,0
1,0.03333333333333333,16,3,car,0.873893,326.24,577.63,421.21,619.86,374,599,374,620,506.000000,0
1,0.03333333333333333,17,3,car,0.868065,1399.73,433.36,1495.41,475.71,1448,455,1448,476,-568.000000,0
1,0.03333333333333333,18,3,car,0.871810,1440.24,118.57,1485.97,215.34,1463,167,1463,215,-583.000000,0
1,0.03333333333333333,19,3,car,0.869039,467.26,656.37,561.44,700.38,514,678,514,700,366.000000,0
1,0.03333333333333333,20,3,car,0.866399,1616.08,341.83,1707.91,381.58,1662,362,1662,382,-782.000000,0
1,0.03333333333333333,21,3,car,0.858547,657.14,424.53,749.82,462.59,703,444,703,463,177.000000,0
1,0.03333333333333333,22,3,car,0.868746,1211.81,499.42,1305.04,539.38,1258,519,1258,539,-378.000000,0
1,0.03333333333333333,23,3,car,0.863692,1415.05,929.20,1497.89,1009.94,1456,970,1456,1010,-576.000000,0
1,0.03333333333333333,24,3,car,0.863679,1687.51,120.43,1729.17,206.66,1708,164,1708,207,-828.000000,0
1,0.03333333333333333,25,3,car,0.862479,1393.38,138.26,1432.67,219.57,1413,179,1413,220,-533.000000,0
1,0.03333333333333333,26,3,car,0.857814,899.43,984.60,941.19,1077.02,920,1031,920,1077,-40.000000,0
1,0.03333333333333333,27,3,car,0.855104,168.10,846.70,240.86,937.59,204,892,204,938,676.000000,0
1,0.03333333333333333,28,3,car,0.856437,1192.13,85.43,1281.07,130.70,1237,108,1237,131,-357.000000,0
1,0.03333333333333333,29,3,car,0.857300,531.38,1.44,622.96,41.44,577,21,577,41,303.000000,0
1,0.03333333333333333,30,3,car,0.865483,1743.84,430.98,1846.97,472.05,1795,452,1795,472,-915.000000,0
1,0.03333333333333333,31,3,car,0.843060,1783.86,113.27,1827.47,202.49,1806,158,1806,202,-926.000000,0
1,0.03333333333333333,32,3,car,0.846567,1588.18,126.69,1628.87,216.65,1609,172,1609,217,-729.000000,0
1,0.03333333333333333,33,3,car,0.848312,1736.39,131.52,1772.99,210.39,1755,171,1755,210,-875.000000,0
1,0.03333333333333333,34,3,car,0.846244,206.73,625.38,297.60,665.43,252,645,252,665,628.000000,0
1,0.03333333333333333,35,3,car,0.833645,96.38,453.92,190.92,498.36,144,476,144,498,736.000000,0
1,0.03333333333333333,36,3,car,0.842215,1539.55,120.44,1581.34,217.19,1560,169,1560,217,-680.000000,0
1,0.03333333333333333,37,3,car,0.839757,1347.50,133.76,1383.62,220.01,1366,177,1366,220,-486.000000,0
1,0.03333333333333333,38,3,car,0.837633,1493.51,122.97,1532.98,218.12,1513,171,1513,218,-633.000000,0
1,0.03333333333333333,39,3,car,0.826531,187.87,571.32,282.26,613.70,235,593,235,614,645.000000,0
1,0.03333333333333333,40,3,car,0.792941,466.87,588.64,561.07,628.72,514,609,514,629,366.000000,0
1,0.03333333333333333,41,3,car,0.827076,1638.92,128.63,1677.99,208.79,1658,169,1658,209,-778.000000,0
1,0.03333333333333333,42,3,car,0.782170,1876.80,111.39,1919.91,209.82,1898,161,1898,210,-1018.000000,0
1,0.03333333333333333,43,3,car,0.828517,1832.04,117.15,1874.15,203.17,1853,160,1853,203,-973.000000,0
1,0.03333333333333333,44,3,car,0.814031,976.23,25.09,1014.56,100.79,995,63,995,101,-115.000000,0
1,0.03333333333333333,45,3,car,0.818192,1180.46,32.45,1267.09,74.19,1224,53,1224,74,-344.000000,0
1,0.03333333333333333,46,5,truck,0.807274,1248.77,925.16,1359.50,1023.92,1304,975,1304,1024,-424.000000,0
1,0.03333333333333333,47,4,van,0.833351,18.99,557.07,117.90,598.95,68,578,68,599,812.000000,0
1,0.03333333333333333,48,3,car,0.800846,342.90,632.24,434.28,671.84,389,652,389,672,491.000000,0
1,0.03333333333333333,49,9,motor,0.751666,865.10,225.97,880.59,266.90,873,246,873,267,7.000000,0
1,0.03333333333333333,50,3,car,0.784187,1488.92,934.79,1560.88,1005.19,1525,970,1525,1005,-645.000000,0
1,0.03333333333333333,51,3,car,0.722983,1888.79,336.04,1919.66,376.12,1904,356,1904,376,-1024.000000,0
1,0.03333333333333333,52,9,motor,0.733690,902.11,239.28,917.49,278.10,910,259,910,278,-30.000000,0
1,0.03333333333333333,53,0,pedestrian,0.709213,480.43,135.03,502.14,150.77,491,143,491,151,389.000000,0
1,0.03333333333333333,54,3,car,0.757936,1064.81,433.45,1144.92,468.36,1105,451,1105,468,-225.000000,0
1,0.03333333333333333,55,0,pedestrian,0.700241,1095.35,846.99,1111.77,862.03,1104,855,1104,862,-224.000000,0
1,0.03333333333333333,56,4,van,0.760011,283.60,210.05,372.86,281.32,328,246,328,281,552.000000,0
1,0.03333333333333333,57,3,car,0.655895,0.00,19.97,21.95,80.85,11,50,11,81,869.000000,0
1,0.03333333333333333,58,3,car,0.674603,1547.10,500.95,1631.24,538.37,1589,520,1589,538,-709.000000,0
1,0.03333333333333333,59,0,pedestrian,0.538595,1050.51,919.50,1062.79,938.15,1057,929,1057,938,-177.000000,0
1,0.03333333333333333,60,4,van,0.513897,1561.72,923.36,1639.37,1001.08,1601,962,1601,1001,-721.000000,0
1,0.03333333333333333,61,0,pedestrian,0.241008,317.20,80.46,329.61,93.47,323,87,323,93,557.000000,0
1,0.03333333333333333,62,7,awning-tricycle,0.301646,581.08,60.43,662.59,110.54,622,85,622,111,258.000000,0
1,0.03333333333333333,63,0,pedestrian,0.366320,1141.23,876.58,1157.51,892.41,1149,884,1149,892,-269.000000,0
1,0.03333333333333333,64,3,car,0.330175,39.89,0.55,107.69,24.47,74,13,74,24,806.000000,0
1,0.03333333333333333,65,0,pedestrian,0.357907,611.17,228.08,626.22,244.78,619,236,619,245,261.000000,0
1,0.03333333333333333,66,0,pedestrian,0.341345,690.89,179.68,713.79,197.54,702,189,702,198,178.000000,0
1,0.03333333333333333,67,0,pedestrian,0.241924,647.51,995.75,664.71,1012.24,656,1004,656,1012,224.000000,0
1,0.03333333333333333,68,0,pedestrian,0.357622,690.54,160.46,705.21,180.39,698,170,698,180,182.000000,0
1,0.03333333333333333,69,0,pedestrian,0.201151,1143.86,860.30,1156.76,874.48,1150,867,1150,874,-270.000000,0
1,0.03333333333333333,71,0,pedestrian,0.197996,237.78,932.14,262.98,948.23,250,940,250,948,630.000000,0
2,0.06666666666666667,1,3,car,0.899406,902.85,665.74,986.33,740.92,945,703,945,741,-65.000000,0
2,0.06666666666666667,2,3,car,0.902994,212.13,72.59,296.62,137.83,254,105,254,138,626.000000,0
2,0.06666666666666667,3,3,car,0.904362,53.84,86.89,139.72,151.78,97,119,97,152,783.000000,0
2,0.06666666666666667,4,3,car,0.903854,428.67,254.15,520.76,320.87,475,288,475,321,405.000000,0
2,0.06666666666666667,5,3,car,0.883075,1155.39,696.77,1257.17,757.20,1206,727,1206,757,-326.000000,0
2,0.06666666666666667,6,3,car,0.890775,996.44,552.11,1081.21,613.32,1039,583,1039,613,-159.000000,0
2,0.06666666666666667,7,3,car,0.893670,155.58,140.96,242.07,204.32,199,173,199,204,681.000000,0
2,0.06666666666666667,8,3,car,0.892718,552.64,743.91,648.91,805.82,601,775,601,806,279.000000,0
2,0.06666666666666667,9,3,car,0.890537,810.22,122.41,849.74,214.20,830,168,830,214,50.000000,0
2,0.06666666666666667,10,3,car,0.887097,417.45,688.25,506.08,748.30,462,718,462,748,418.000000,0
2,0.06666666666666667,11,3,car,0.890811,814.55,835.08,870.85,926.44,843,881,843,926,37.000000,0
2,0.06666666666666667,12,3,car,0.887448,151.71,698.03,226.09,772.57,189,735,189,773,691.000000,0
2,0.06666666666666667,13,3,car,0.885017,136.43,24.06,213.62,84.78,175,54,175,85,705.000000,0
2,0.06666666666666667,14,3,car,0.870765,1482.09,344.27,1577.61,387.80,1530,366,1530,388,-650.000000,0
2,0.06666666666666667,15,3,car,0.873065,1745.12,344.53,1833.71,383.54,1789,364,1789,384,-909.000000,0
2,0.06666666666666667,16,3,car,0.877084,326.72,577.62,421.89,619.94,374,599,374,620,506.000000,0
2,0.06666666666666667,17,3,car,0.871834,1396.28,433.66,1491.12,475.64,1444,455,1444,476,-564.000000,0
2,0.06666666666666667,18,3,car,0.871335,1440.15,119.00,1485.81,215.60,1463,167,1463,216,-583.000000,0
2,0.06666666666666667,19,3,car,0.871529,467.41,656.46,561.72,700.52,515,678,515,701,365.000000,0
2,0.06666666666666667,20,3,car,0.865166,1615.53,341.84,1708.02,381.89,1662,362,1662,382,-782.000000,0
2,0.06666666666666667,21,3,car,0.857347,651.92,424.28,745.47,462.71,699,443,699,463,181.000000,0
2,0.06666666666666667,22,3,car,0.870282,1206.90,499.25,1300.89,539.55,1254,519,1254,540,-374.000000,0
2,0.06666666666666667,23,3,car,0.863879,1414.13,929.03,1497.07,1009.81,1456,969,1456,1010,-576.000000,0
2,0.06666666666666667,24,3,car,0.862512,1687.13,120.76,1728.80,207.04,1708,164,1708,207,-828.000000,0
2,0.06666666666666667,25,3,car,0.862220,1393.36,138.54,1432.60,219.71,1413,179,1413,220,-533.000000,0
2,0.06666666666666667,26,3,car,0.857765,899.47,984.28,941.34,1076.95,920,1031,920,1077,-40.000000,0
2,0.06666666666666667,27,3,car,0.867826,168.23,846.69,240.80,937.39,205,892,205,937,675.000000,0
2,0.06666666666666667,28,3,car,0.855587,1191.39,85.77,1280.70,131.23,1236,108,1236,131,-356.000000,0
2,0.06666666666666667,29,3,car,0.857859,531.60,1.55,623.34,41.63,577,22,577,42,303.000000,0
2,0.06666666666666667,30,3,car,0.865766,1740.39,431.00,1843.64,472.14,1792,452,1792,472,-912.000000,0
2,0.06666666666666667,31,3,car,0.846621,1783.46,113.54,1826.86,202.31,1805,158,1805,202,-925.000000,0
2,0.06666666666666667,32,3,car,0.847193,1587.85,126.86,1628.48,216.63,1608,172,1608,217,-728.000000,0
2,0.06666666666666667,33,3,car,0.839690,1736.24,132.00,1772.75,210.62,1754,171,1754,211,-874.000000,0
2,0.06666666666666667,34,3,car,0.847997,207.17,625.49,297.56,665.31,252,645,252,665,628.000000,0
2,0.06666666666666667,35,3,car,0.851347,90.73,453.22,186.86,498.43,139,476,139,498,741.000000,0
2,0.06666666666666667,36,3,car,0.837992,1539.21,120.62,1580.92,217.13,1560,169,1560,217,-680.000000,0
2,0.06666666666666667,37,3,car,0.840340,1347.47,133.97,1383.59,220.19,1366,177,1366,220,-486.000000,0
2,0.06666666666666667,38,3,car,0.837227,1493.25,123.22,1532.63,218.13,1513,171,1513,218,-633.000000,0
2,0.06666666666666667,39,3,car,0.834865,187.93,571.20,282.83,613.81,235,593,235,614,645.000000,0
2,0.06666666666666667,40,3,car,0.751476,467.28,588.61,561.59,628.74,514,609,514,629,366.000000,0
2,0.06666666666666667,41,3,car,0.827340,1638.69,128.82,1677.85,209.16,1658,169,1658,209,-778.000000,0
2,0.06666666666666667,42,3,car,0.758651,1876.57,111.72,1919.81,210.42,1898,161,1898,210,-1018.000000,0
2,0.06666666666666667,43,3,car,0.823756,1831.74,117.39,1873.89,203.55,1853,160,1853,204,-973.000000,0
2,0.06666666666666667,44,3,car,0.814976,976.88,23.56,1014.32,97.39,996,60,996,97,-116.000000,0
2,0.06666666666666667,45,3,car,0.821977,1180.49,32.65,1267.06,74.38,1224,54,1224,74,-344.000000,0
2,0.06666666666666667,46,5,truck,0.812357,1247.33,924.53,1358.62,1023.75,1303,974,1303,1024,-423.000000,0
2,0.06666666666666667,47,4,van,0.769559,19.44,556.99,118.57,598.98,69,578,69,599,811.000000,0
2,0.06666666666666667,48,3,car,0.811842,343.02,632.19,434.52,671.85,389,652,389,672,491.000000,0
2,0.06666666666666667,49,9,motor,0.751950,865.07,226.12,880.56,267.06,873,247,873,267,7.000000,0
2,0.06666666666666667,50,3,car,0.776799,1488.23,934.28,1560.71,1005.16,1524,970,1524,1005,-644.000000,0
2,0.06666666666666667,51,3,car,0.730554,1888.56,336.12,1919.50,376.25,1904,356,1904,376,-1024.000000,0
2,0.06666666666666667,52,9,motor,0.737385,902.07,239.07,917.52,278.07,910,259,910,278,-30.000000,0
2,0.06666666666666667,53,0,pedestrian,0.701162,479.84,135.12,501.05,150.55,490,143,490,151,390.000000,0
2,0.06666666666666667,54,3,car,0.734317,1058.77,432.99,1140.42,468.56,1100,451,1100,469,-220.000000,0
2,0.06666666666666667,55,0,pedestrian,0.731742,1094.43,847.22,1110.82,862.22,1103,855,1103,862,-223.000000,0
2,0.06666666666666667,56,4,van,0.560636,284.17,210.16,373.40,281.42,329,246,329,281,551.000000,0
2,0.06666666666666667,57,3,car,0.667022,0.03,20.18,22.00,80.80,11,50,11,81,869.000000,0
2,0.06666666666666667,58,4,van,0.582310,1543.04,500.96,1628.05,538.77,1586,520,1586,539,-706.000000,0
2,0.06666666666666667,59,0,pedestrian,0.569692,1050.49,919.39,1062.80,938.10,1057,929,1057,938,-177.000000,0
2,0.06666666666666667,60,4,van,0.496714,1561.26,922.95,1639.48,1001.25,1600,962,1600,1001,-720.000000,0
2,0.06666666666666667,61,0,pedestrian,0.200096,318.09,81.43,330.67,94.61,324,88,324,95,556.000000,0
2,0.06666666666666667,62,7,awning-tricycle,0.212910,581.15,60.53,662.86,110.79,622,86,622,111,258.000000,0
2,0.06666666666666667,63,0,pedestrian,0.396452,1141.29,876.45,1157.65,892.33,1149,884,1149,892,-269.000000,0
2,0.06666666666666667,64,3,car,0.320004,40.09,0.56,108.47,24.71,74,13,74,25,806.000000,0
2,0.06666666666666667,65,0,pedestrian,0.322232,611.48,228.18,626.48,244.85,619,237,619,245,261.000000,0
2,0.06666666666666667,66,0,pedestrian,0.361403,690.53,180.01,713.26,197.72,702,189,702,198,178.000000,0
2,0.06666666666666667,67,0,pedestrian,0.203092,647.57,995.76,664.94,1012.44,656,1004,656,1012,224.000000,0
2,0.06666666666666667,68,0,pedestrian,0.405346,690.63,160.74,705.35,180.70,698,171,698,181,182.000000,0
2,0.06666666666666667,69,0,pedestrian,0.233801,1143.94,860.24,1156.72,874.27,1150,867,1150,874,-270.000000,0
2,0.06666666666666667,71,0,pedestrian,0.241541,238.08,932.02,263.47,948.19,251,940,251,948,629.000000,0
2,0.06666666666666667,73,4,van,0.582380,467.93,588.36,560.86,628.61,514,608,514,629,366.000000,0
3,0.1,1,3,car,0.882806,899.42,668.12,983.50,743.92,941,706,941,744,-61.000000,0
3,0.1,2,3,car,0.902082,212.23,72.71,296.86,138.05,255,105,255,138,625.000000,0
3,0.1,3,3,car,0.904890,53.80,87.00,139.96,152.14,97,120,97,152,783.000000,0
3,0.1,4,3,car,0.903204,428.87,254.30,521.12,321.16,475,288,475,321,405.000000,0
3,0.1,5,3,car,0.892326,1159.99,696.27,1259.97,755.54,1210,726,1210,756,-330.000000,0
3,0.1,6,3,car,0.888480,993.03,554.35,1077.72,615.51,1035,585,1035,616,-155.000000,0
3,0.1,7,3,car,0.894630,156.01,141.14,242.60,204.58,199,173,199,205,681.000000,0
3,0.1,8,3,car,0.891227,552.78,743.71,649.13,805.68,601,775,601,806,279.000000,0
3,0.1,9,3,car,0.889233,810.33,122.67,849.79,214.32,830,168,830,214,50.000000,0
3,0.1,10,3,car,0.886458,417.92,688.10,506.52,748.12,462,718,462,748,418.000000,0
3,0.1,11,3,car,0.882437,813.84,839.77,870.02,931.00,842,885,842,931,38.000000,0
3,0.1,12,3,car,0.885783,152.19,698.39,226.20,772.51,189,735,189,773,691.000000,0
3,0.1,13,3,car,0.886675,136.89,24.14,214.07,84.86,175,55,175,85,705.000000,0
3,0.1,14,3,car,0.870190,1481.92,344.46,1577.24,387.88,1530,366,1530,388,-650.000000,0
3,0.1,15,3,car,0.872633,1744.88,344.67,1833.31,383.57,1789,364,1789,384,-909.000000,0
3,0.1,16,3,car,0.878819,327.12,577.61,422.63,620.10,375,599,375,620,505.000000,0
3,0.1,17,3,car,0.872606,1392.05,434.08,1486.17,475.71,1439,455,1439,476,-559.000000,0
3,0.1,18,3,car,0.871376,1439.90,119.33,1485.58,215.92,1463,168,1463,216,-583.000000,0
3,0.1,19,3,car,0.871974,467.82,656.43,562.20,700.52,515,678,515,701,365.000000,0
3,0.1,20,3,car,0.863996,1614.93,341.98,1707.87,382.26,1661,362,1661,382,-781.000000,0
3,0.1,21,3,car,0.867596,646.01,424.01,740.42,462.82,693,443,693,463,187.000000,0
3,0.1,22,3,car,0.862756,1202.38,499.17,1296.53,539.53,1249,519,1249,540,-369.000000,0
3,0.1,23,3,car,0.870276,1413.57,929.32,1496.05,1009.54,1455,969,1455,1010,-575.000000,0
3,0.1,24,3,car,0.860331,1687.08,121.19,1728.67,207.39,1708,164,1708,207,-828.000000,0
3,0.1,25,3,car,0.862994,1393.22,138.75,1432.49,219.98,1413,179,1413,220,-533.000000,0
